reaction_id	flux
ABYW00000000_1_ms_medium_gapseq_open_rxn00001_ABYW00000000_1_ms_medium_gapseq_open_c0	0.345309
ABYW00000000_1_ms_medium_gapseq_open_rxn00003_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00004_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00010_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00011_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00029_ABYW00000000_1_ms_medium_gapseq_open_c0	0.005188
ABYW00000000_1_ms_medium_gapseq_open_rxn00048_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00055_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00060_ABYW00000000_1_ms_medium_gapseq_open_c0	0.001297
ABYW00000000_1_ms_medium_gapseq_open_rxn00062_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00070_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00076_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00077_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00078_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000097
ABYW00000000_1_ms_medium_gapseq_open_rxn00083_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00085_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00086_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00097_ABYW00000000_1_ms_medium_gapseq_open_c0	0.110723
ABYW00000000_1_ms_medium_gapseq_open_rxn00104_ABYW00000000_1_ms_medium_gapseq_open_c0	-0.000910
ABYW00000000_1_ms_medium_gapseq_open_rxn00105_ABYW00000000_1_ms_medium_gapseq_open_c0	-0.069411
ABYW00000000_1_ms_medium_gapseq_open_rxn00106_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00107_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00113_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00117_ABYW00000000_1_ms_medium_gapseq_open_c0	0.079487
ABYW00000000_1_ms_medium_gapseq_open_rxn00119_ABYW00000000_1_ms_medium_gapseq_open_c0	0.076456
ABYW00000000_1_ms_medium_gapseq_open_rxn00121_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00122_ABYW00000000_1_ms_medium_gapseq_open_c0	0.000000
ABYW00000000_1_ms_medium_gapseq_open_rxn00126_ABYW00000000_1_ms_medium_gapseq_open_c0	0.018431
