,reaction_id,min_flux,max_flux
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00001_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00001_ABYW00000000_1_ms_medium_gapseq_open_e0,9.000000000000055,9.000000000000728
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03247_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd03247_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00033_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00033_ABYW00000000_1_ms_medium_gapseq_open_e0,-1.0728601069410517e-13,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01663_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01663_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01318_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd01318_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00526_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00526_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00009_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00009_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.12046013433563992,-0.12046013433583279
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00023_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00023_ABYW00000000_1_ms_medium_gapseq_open_e0,-1.0933041739681313e-14,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00028_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00028_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00030_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00030_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00034_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00034_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00039_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00039_ABYW00000000_1_ms_medium_gapseq_open_e0,0.014813968554274509,0.014813968554086756
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00041_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00041_ABYW00000000_1_ms_medium_gapseq_open_e0,4.9027976636475974e-14,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00051_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00051_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.10951751161945102,-0.10951751161943704
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00053_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00053_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.16978651718890098,-0.16978651718828813
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00064_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00064_ABYW00000000_1_ms_medium_gapseq_open_e0,-1.458256646326406e-13,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00098_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00098_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00119_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00119_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.04640572526247033,-0.04640572526248053
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00129_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00129_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.09118725014078474,-0.09118725014075427
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00149_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00149_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.0018045391357446807,-0.0018045391357446807
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00156_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00156_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00161_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00161_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.10780156498283086,-0.10780156498273695
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00179_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00179_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00209_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00209_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00244_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00244_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.0007678889942382422,-0.0007678889942382436
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00305_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00305_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00266_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00266_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00540_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00540_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd08305_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd08305_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10516_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd10516_ABYW00000000_1_ms_medium_gapseq_open_e0,0.0,0.0
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00067_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00067_ABYW00000000_1_ms_medium_gapseq_open_e0,11.802483963802969,11.802483963645848
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00092_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00092_ABYW00000000_1_ms_medium_gapseq_open_e0,1.364388225882654e-15,0.5580490961330054
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00311_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00311_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.17305424339283568,0.38499485272169676
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00035_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00035_ABYW00000000_1_ms_medium_gapseq_open_e0,1.573772669283663,1.5737726693848537
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00971_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00971_ABYW00000000_1_ms_medium_gapseq_open_e0,-1.7425966028870838e-15,-1.7425966028870838e-15
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00084_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00084_ABYW00000000_1_ms_medium_gapseq_open_e0,-0.040353207939871905,-0.04035320794087474
ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00013_ABYW00000000_1_ms_medium_gapseq_open_e0,ABYW00000000_1_ms_medium_gapseq_open_TF_cpd00013_ABYW00000000_1_ms_medium_gapseq_open_e0,-1.000000000003855,-1.0000000000012566
