,metabolite_id,metabolite_name,cross_feeding,produced_by,consumed_by
0,cpd00001_medium,H2O,True,['ABYW00000000_1_ms_medium_gapseq_open'],['NC_004663_1_ms_b_tim_medium_gapseq_open']
1,cpd03247_medium,Glycochenodeoxycholate,False,[],[]
2,cpd00033_medium,Glycine,False,[],[]
3,cpd01663_medium,Chenodiol,False,[],[]
4,cpd01318_medium,Glycocholate,False,[],[]
5,cpd00526_medium,Cholate,False,[],[]
6,cpd00009_medium,Phosphate,False,[],"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']"
7,cpd00023_medium,L-Glutamate,False,[],[]
8,cpd00028_medium,Heme,False,[],[]
9,cpd00030_medium,Mn2+,False,[],['NC_004663_1_ms_b_tim_medium_gapseq_open']
10,cpd00034_medium,Zn2+,False,[],['NC_004663_1_ms_b_tim_medium_gapseq_open']
11,cpd00039_medium,L-Lysine,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
12,cpd00041_medium,L-Aspartate,False,[],[]
13,cpd00051_medium,L-Arginine,False,[],"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']"
14,cpd00053_medium,L-Glutamine,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
15,cpd00064_medium,Ornithine,False,[],[]
16,cpd00098_medium,Choline,False,[],[]
17,cpd00119_medium,L-Histidine,False,[],"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']"
18,cpd00129_medium,L-Proline,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
19,cpd00149_medium,Co2+,False,[],"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']"
20,cpd00156_medium,L-Valine,False,[],[]
21,cpd00161_medium,L-Threonine,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
22,cpd00179_medium,Maltose,False,[],[]
23,cpd00209_medium,Nitrate,False,[],[]
24,cpd00244_medium,Ni2+,False,[],['ABYW00000000_1_ms_medium_gapseq_open']
25,cpd00305_medium,Thiamin,False,[],[]
26,cpd00266_medium,Carnitine,False,[],[]
27,cpd00540_medium,BET,False,[],[]
28,cpd08305_medium,crotonobetaine,False,[],[]
29,cpd10516_medium,fe3,False,[],['NC_004663_1_ms_b_tim_medium_gapseq_open']
30,cpd00067_medium,H+,True,"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']",['ABYW00000000_1_ms_medium_gapseq_open']
31,cpd00092_medium,Uracil,True,"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']","['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']"
32,cpd00311_medium,Guanosine,True,"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']","['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']"
33,cpd00035_medium,L-Alanine,True,"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']","['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']"
34,cpd00971_medium,Na+,False,[],[]
35,cpd00084_medium,L-Cysteine,False,[],"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']"
36,cpd00013_medium,NH3,True,['ABYW00000000_1_ms_medium_gapseq_open'],['NC_004663_1_ms_b_tim_medium_gapseq_open']
37,cpd00063_medium,Ca2+,False,[],['NC_004663_1_ms_b_tim_medium_gapseq_open']
38,cpd01012_medium,Cd2+,False,[],[]
39,cpd00058_medium,Cu2+,False,[],['NC_004663_1_ms_b_tim_medium_gapseq_open']
40,cpd10515_medium,Fe2+,False,[],['NC_004663_1_ms_b_tim_medium_gapseq_open']
41,cpd00047_medium,Formate,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
42,cpd00106_medium,Fumarate,True,['ABYW00000000_1_ms_medium_gapseq_open'],['NC_004663_1_ms_b_tim_medium_gapseq_open']
43,cpd01262_medium,Amylotriose,False,[],[]
44,cpd00060_medium,L-Methionine,False,[],"['ABYW00000000_1_ms_medium_gapseq_open', 'NC_004663_1_ms_b_tim_medium_gapseq_open']"
45,cpd00075_medium,Nitrite,False,[],[]
46,cpd01132_medium,Puromycin,False,[],[]
47,cpd00065_medium,L-Tryptophan,False,[],[]
48,cpd00132_medium,L-Asparagine,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
49,cpd01015_medium,Cyanate,False,[],[]
50,cpd01107_medium,Decanoate,False,[],[]
51,cpd01741_medium,ddca,False,[],[]
52,cpd03847_medium,Myristic acid,False,[],[]
53,cpd15298_medium,tetradecenoate,False,[],[]
54,cpd00214_medium,Palmitate,False,[],[]
55,cpd15237_medium,hexadecenoate,False,[],[]
56,cpd01080_medium,ocdca,False,[],[]
57,cpd15269_medium,octadecenoate,False,[],[]
58,cpd01113_medium,Hexanoate,False,[],[]
59,cpd03846_medium,octanoate,False,[],[]
60,cpd00531_medium,Hg2+,False,[],[]
61,cpd00205_medium,K+,False,[],['NC_004663_1_ms_b_tim_medium_gapseq_open']
62,cpd00254_medium,Mg,False,[],['NC_004663_1_ms_b_tim_medium_gapseq_open']
63,cpd00036_medium,Succinate,False,['NC_004663_1_ms_b_tim_medium_gapseq_open'],[]
64,cpd04097_medium,Pb,False,[],[]
65,cpd00010_medium,CoA,True,['NC_004663_1_ms_b_tim_medium_gapseq_open'],['ABYW00000000_1_ms_medium_gapseq_open']
66,cpd00054_medium,L-Serine,False,[],[]
